evo-1,evo-2,evo-3,evo-4,evo-5,evo-6,evo-7,evo-8,evo-9,evo-10,evo-11,evo-12,evo-13,evo-14,evo-15,evo-16,evo-17,evo-18,evo-19,evo-20,evo-21,evo-22,evo-23,evo-24,evo-25,evo-26,evo-27
donate-res-to-deme,nop-C,nop-C,nop-A,inc,if-resources,nop-C,nop-C,nop-C,nop-C,pop,jmp-head,if-resources,if-not-pheromone,if-n-equ,get-head,dec,if-resources,nop-C,sub,swap,explore,nop-C,nand,nop-C,nop-C,nop-C
rotate-l,nop-C,if-label,donate-res-to-deme,phero-on,inc,if-resources,nop-C,sense-pheromone-faced,if-pheromone,nop-C,nop-C,inc,nop-C,nop-C,add,dec,inc,rotate-l,tumble,if-resources,nop-C,dec,nop-B,nop-C,nop-C,phero-off
jmp-head,nop-C,nop-C,sense-faced-resource0,nop-A,nop-C,inc,dec,if-pheromone,shift-l,nop-C,if-resources,nop-C,phero-on,nop-C,nop-C,set-flow,jmp-head,nand,if-less,inc,nop-C,nop-C,if-resources,nop-C,jmp-head,nop-C
exploit,dec,nop-C,if-label,nop-C,sub,nop-C,nand,dec,if-resources,shift-l,inc,swap,nop-C,swap,sub,nop-C,nop-C,nop-C,nop-C,nop-A,nop-B,if-resources,inc,nop-C,nop-A,nop-C
if-n-equ,tumble,if-resources,if-resources,phero-on,nop-C,nop-C,nop-C,h-search,inc,sense-pheromone-faced,nop-C,push,nop-C,pop,nop-C,rotate-l,phero-on,nand,nop-C,nop-C,move,get-head,dec,if-resources,swap-stk,nop-C
if-resources,inc,if-not-pheromone,inc,phero-off,if-less,IO,donate-res-to-deme,donate-res-to-deme,sub,nop-C,phero-on,nop-C,if-resources,phero-off,nop-C,if-resources,nop-C,pop,jmp-head,nop-C,dec,set-flow,sense-pheromone,pop,if-resources,get-head
inc,inc,nand,nop-C,nop-C,nop-C,nop-C,h-search,dec,nand,push,nop-C,nop-C,push,if-resources,h-search,inc,nop-C,if-pheromone,nop-C,nop-C,shift-l,nop-C,nand,nop-C,nop-C,dec
if-resources,nop-C,nop-C,shift-l,rotate-r,add,swap,if-resources,nop-C,if-not-pheromone,nop-C,rotate-r,nop-C,tumble,inc,add,if-label,swap-stk,nop-C,add,nop-C,nop-B,nop-C,inc,nop-C,IO,if-resources
phero-on,nop-B,nop-C,nop-C,exploit,rotate-l,nop-C,explore,set-flow,if-less,swap,nop-C,rotate-r,if-n-equ,move,exploit,nand,pop,sense-pheromone,nop-C,dec,if-less,explore,swap,IO,if-resources,move
swap,nop-C,nop-C,nop-C,mov-head,tumble,nop-C,sense-pheromone,nop-C,nop-C,IO,nop-C,nop-C,nop-C,pop,add,nop-C,sense-resource0,donate-res-to-deme,if-n-equ,set-flow,nop-C,nop-C,phero-on,sense-pheromone-faced,h-search,shift-l
